timestamp,protocol,length,src_ip,dst_ip,src_port,dst_port,tcp_flags
1757465612.605626,TCP,66,172.253.63.94,172.16.81.49,443,49307,16
1757465612.612305,TCP,66,172.253.63.94,172.16.81.49,443,49307,16
1757465612.628507,TLS,120,208.103.161.1,172.16.81.49,0,0,24
1757465612.628888,TCP,66,172.16.81.49,208.103.161.1,65227,443,16
1757465612.631026,TLS,124,172.16.81.49,208.103.161.1,0,0,24
1757465612.642566,TCP,66,208.103.161.1,172.16.81.49,443,65227,16
1757465613.174069,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465614.197797,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465614.53972,TLS,120,172.16.81.49,34.224.147.117,0,0,24
1757465614.556605,TCP,66,34.224.147.117,172.16.81.49,443,62755,16
1757465614.556607,TLS,122,34.224.147.117,172.16.81.49,0,0,24
1757465614.556852,TCP,66,172.16.81.49,34.224.147.117,62755,443,16
1757465614.915314,TLS,176,34.120.52.64,172.16.81.49,0,0,24
1757465614.915565,TCP,66,172.16.81.49,34.120.52.64,65485,443,16
1757465614.917374,TLS,215,172.16.81.49,34.120.52.64,0,0,24
1757465614.928681,TCP,66,34.120.52.64,172.16.81.49,443,65485,16
1757465615.221896,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465615.54002,TLS,120,172.16.81.49,34.224.147.117,0,0,24
1757465615.556823,TLS,122,34.224.147.117,172.16.81.49,0,0,24
1757465615.557067,TCP,66,172.16.81.49,34.224.147.117,62758,443,16
1757465615.764095,TCP,66,172.16.81.49,172.253.63.94,49307,443,17
1757465615.777469,TCP,66,172.253.63.94,172.16.81.49,443,49307,17
1757465615.777734,TCP,66,172.16.81.49,172.253.63.94,49307,443,16
1757465616.245887,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465616.450682,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465617.270096,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465617.783243,TLS,105,172.64.146.215,172.16.81.49,0,0,24
1757465617.783505,TCP,66,172.16.81.49,172.64.146.215,49194,443,16
1757465617.785298,TLS,101,172.16.81.49,172.64.146.215,0,0,24
1757465617.785376,TLS,101,172.16.81.49,172.64.146.215,0,0,24
1757465617.796986,TCP,66,172.64.146.215,172.16.81.49,443,49194,16
1757465617.796989,TCP,66,172.64.146.215,172.16.81.49,443,49194,16
1757465618.294075,ARP,60,0.0.0.0,0.0.0.0,0,0,0
1757465618.542335,DATA,647,172.16.81.49,104.26.11.240,0,0,0
1757465618.554048,DATA,66,104.26.11.240,172.16.81.49,0,0,0
1757465618.571686,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465618.573853,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465618.573855,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465618.573856,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465618.573858,DATA,504,104.26.11.240,172.16.81.49,0,0,0
1757465618.57541,DATA,87,172.16.81.49,104.26.11.240,0,0,0
1757465618.600315,DATA,606,172.16.81.49,104.26.11.240,0,0,0
1757465618.600811,DATA,613,172.16.81.49,104.26.11.240,0,0,0
1757465618.600881,DATA,613,172.16.81.49,104.26.11.240,0,0,0
1757465618.611711,DATA,66,104.26.11.240,172.16.81.49,0,0,0
1757465618.612377,DATA,66,104.26.11.240,172.16.81.49,0,0,0
1757465618.626078,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465618.626079,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465618.628012,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465618.628013,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465618.628014,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
1757465618.628015,DATA,1242,104.26.11.240,172.16.81.49,0,0,0
